item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
SREALITY3796385372,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-graficka/3796385372#img=0&fullscreen=false,2+kk,7636000,62,123161,Crestyl,Grafická,Praha 5,Smíchov
SREALITY1359830620,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--smrzovych/1359830620#img=0&fullscreen=false,2+kk,6051000,60,100850,N/A,Smržových,Praha,
SREALITY2872925788,https://www.sreality.cz/detail/prodej/byt/1+kk/praha--smrzovych/2872925788#img=0&fullscreen=false,1+kk,5256000,50,105120,N/A,Smržových,Praha,
SREALITY2295291484,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-kobrova/2295291484#img=0&fullscreen=false,3+kk,18990000,136,139632,N/A,Kobrova,Praha 5,Smíchov
SREALITY3581435484,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-kobrova/3581435484#img=0&fullscreen=false,1+kk,5690000,44,129318,N/A,Kobrova,Praha 5,Smíchov
SREALITY231431772,https://www.sreality.cz/detail/prodej/byt/4+kk/praha--smrzovych/231431772#img=0&fullscreen=false,4+kk,11298000,106,106584,N/A,Smržových,Praha,
SREALITY4106968668,https://www.sreality.cz/detail/prodej/byt/3+kk/praha--smrzovych/4106968668#img=0&fullscreen=false,3+kk,7465000,70,106642,N/A,Smržových,Praha,
SREALITY3321585244,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--smrzovych/3321585244#img=0&fullscreen=false,2+kk,6061000,57,106333,N/A,Smržových,Praha,
SREALITY2409983580,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dejvice-marakova/2409983580#img=0&fullscreen=false,3+kk,1,132,0,Svoboda & Williams,Mařákova,Praha 6,Dejvice
SREALITY462716508,https://www.sreality.cz/detail/prodej/byt/1+1/praha-nove-mesto-navratilova/462716508#img=0&fullscreen=false,1+1,5800000,35,165714,N/A,Navrátilova,Praha 1,Nové Město
SREALITY2901802588,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-jinonice-peroutkova/2901802588#img=0&fullscreen=false,2+kk,5078000,64,79343,"PSN, s.r.o.",Peroutkova,Praha 5,Jinonice
SREALITY4146507612,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-preslova/4146507612#img=0&fullscreen=false,2+kk,7290000,59,123559,N/A,Preslova,Praha 5,Smíchov
SREALITY2849025884,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-praha-5-peroutkova/2849025884#img=0&fullscreen=false,1+kk,2947000,23,128130,N/A,Peroutkova,Praha,Praha 5
SREALITY2452664156,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-opatovicka/2452664156#img=0&fullscreen=false,1+kk,1,27,0,"Vomastek, s.r.o.",Opatovická,Praha 1,Nové Město
SREALITY1473032028,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-u-vojanky/1473032028#img=0&fullscreen=false,3+kk,7500000,89,84269,N/A,U Vojanky,Praha 5,Košíře
SREALITY3896291164,https://www.sreality.cz/detail/prodej/byt/4+1/praha-stodulky-ovci-hajek/3896291164#img=0&fullscreen=false,4+1,9300000,123,75609,N/A,Ovčí hájek,Praha 5,Stodůlky
SREALITY862338652,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-stodulky-raichlova/862338652#img=0&fullscreen=false,1+kk,1,25,0,N/A,Raichlova,Praha 5,Stodůlky
SREALITY181972828,https://www.sreality.cz/detail/prodej/byt/1+1/praha-karlin-vitkova/181972828#img=0&fullscreen=false,1+1,6450000,46,140217,Svoboda & Williams,Vítkova,Praha 8,Karlín
SREALITY306753372,https://www.sreality.cz/detail/prodej/byt/2+1/praha-vinohrady-hradesinska/306753372#img=0&fullscreen=false,2+1,7190000,45,159777,Svoboda & Williams,Hradešínská,Praha 10,Vinohrady
SREALITY151404124,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-nove-mesto-u-pujcovny/151404124#img=0&fullscreen=false,5+kk,22000000,260,84615,N/A,U Půjčovny,Praha 1,Nové Město
SREALITY3441634908,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-nad-vysinkou/3441634908#img=0&fullscreen=false,atypická,19640000,N/A,N/A,N/A,Nad Výšinkou,Praha 5,Smíchov
SREALITY331193948,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-holesovice-jankovcova/331193948#img=0&fullscreen=false,4+kk,13575000,237,57278,Taurus Czech Republic s.r.o.,Jankovcova,Praha 7,Holešovice
SREALITY1855733340,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-holesovice-jankovcova/1855733340#img=0&fullscreen=false,1+kk,4390500,45,97566,Taurus Czech Republic s.r.o.,Jankovcova,Praha 7,Holešovice
SREALITY2071387740,https://www.sreality.cz/detail/prodej/byt/atypická/praha-michle-bohdalec/2071387740#img=0&fullscreen=false,atypická,12980000,N/A,N/A,N/A,Bohdalec,Praha 4,Michle
SREALITY3430924124,https://www.sreality.cz/detail/prodej/byt/5+1/praha-podoli-brabcova/3430924124#img=0&fullscreen=false,5+1,19900000,160,124375,N/A,Brabcova,Praha 4,Podolí
SREALITY1729675100,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dolni-mecholupy-na-navsi/1729675100#img=0&fullscreen=false,4+kk,12346080,130,94969,N/A,Na Návsi,Praha 10,Dolní Měcholupy
SREALITY212516700,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-na-hrebenkach/212516700#img=0&fullscreen=false,atypická,1,N/A,N/A,N/A,Na Hřebenkách,Praha 5,Smíchov
SREALITY3005923164,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-pernerova/3005923164#img=0&fullscreen=false,2+kk,7100000,79,89873,Svoboda & Williams,Pernerova,Praha 8,Karlín
SREALITY1056685916,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-chodov-jarnikova/1056685916#img=0&fullscreen=false,4+kk,7990000,90,88777,N/A,Jarníkova,Praha 4,Chodov
SREALITY1121848924,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-vinohradska/1121848924#img=0&fullscreen=false,3+kk,10351300,83,124714,Crestyl,Vinohradská,Praha 10,Žižkov
SREALITY2687979356,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-liben-konselska/2687979356#img=0&fullscreen=false,1+kk,2999000,46,65195,"PSN, s.r.o.",Konšelská,Praha 8,Libeň
SREALITY3765739356,https://www.sreality.cz/detail/prodej/byt/3+1/praha-vinohrady-vinohradska/3765739356#img=0&fullscreen=false,3+1,19950000,164,121646,N/A,Vinohradská,Praha 2,Vinohrady
SREALITY3640999516,https://www.sreality.cz/detail/prodej/byt/4+1/praha-chodov-nechvilova/3640999516#img=0&fullscreen=false,4+1,6890000,97,71030,N/A,Nechvílova,Praha 4,Chodov
