item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
SREALITY2071056220,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-dlazdena/2071056220#img=0&fullscreen=false,2+kk,8810000,44,200227,"PSN, s.r.o.",Dlážděná,Praha 1,Nové Město
SREALITY3858526044,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-rimska/3858526044#img=0&fullscreen=false,2+kk,5990000,38,157631,ANGELO ROMA a.s.,Římská,Praha 2,Vinohrady
SREALITY611913308,https://www.sreality.cz/detail/prodej/byt/2+1/praha-nove-mesto-lannova/611913308#img=0&fullscreen=false,2+1,12470000,99,125959,RE/MAX Cool,Lannova,Praha 1,Nové Město
SREALITY438869852,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-brevnov-mladeze/438869852#img=0&fullscreen=false,2+kk,3150000,32,98437,RE/MAX Cool,Mládeže,Praha 6,Břevnov
SREALITY2940636764,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-cerny-most-bryksova/2940636764#img=0&fullscreen=false,2+kk,5389000,60,89816,CANABA a.s.,Bryksova,Praha,Černý Most
SREALITY2695511900,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-rohanske-nabrezi/2695511900#img=0&fullscreen=false,3+kk,11507000,87,132264,"Sekyra Group, a.s.",Rohanské nábřeží,Praha,Karlín
SREALITY1217859420,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-krc-murgasova/1217859420#img=0&fullscreen=false,3+kk,6390000,70,91285,N/A,Murgašova,Praha 4,Krč
SREALITY1074892380,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-holeckova/1074892380#img=0&fullscreen=false,3+kk,1,113,0,N/A,Holečkova,Praha 5,Smíchov
SREALITY528649820,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-holeckova/528649820#img=0&fullscreen=false,1+kk,1,40,0,N/A,Holečkova,Praha 5,Smíchov
SREALITY2923327836,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-graficka/2923327836#img=0&fullscreen=false,3+kk,1,112,0,N/A,Grafická,Praha 5,Smíchov
SREALITY3268153692,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-graficka/3268153692#img=0&fullscreen=false,1+kk,5990000,40,149750,N/A,Grafická,Praha 5,Smíchov
SREALITY317537884,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-holesovice-jatecni/317537884#img=0&fullscreen=false,4+kk,16320000,128,127500,MAXIMA REALITY,Jateční,Praha 7,Holešovice
SREALITY4061265500,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-cerny-most-bryksova/4061265500#img=0&fullscreen=false,4+kk,12269000,130,94376,CANABA a.s.,Bryksova,Praha,Černý Most
SREALITY4208607068,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-rohanske-nabrezi/4208607068#img=0&fullscreen=false,2+kk,7850000,58,135344,"Sekyra Group, a.s.",Rohanské nábřeží,Praha,Karlín
SREALITY1236737116,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-namesti-jiriho-z-lobkovic/1236737116#img=0&fullscreen=false,2+kk,7799000,62,125790,Duna House,náměstí Jiřího z Lobkovic,Praha 3,Vinohrady
SREALITY4038340444,https://www.sreality.cz/detail/prodej/byt/3+1/praha-vinohrady-chodska/4038340444#img=0&fullscreen=false,3+1,8899000,85,104694,"MC Metropolitan, s.r.o.",Chodská,Praha 2,Vinohrady
SREALITY3248369244,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-za-zenskymi-domovy/3248369244#img=0&fullscreen=false,4+kk,16036000,120,133633,"Sekyra Group, a.s.",Za Ženskými domovy,Praha,Smíchov
SREALITY3990809692,https://www.sreality.cz/detail/prodej/byt/4+1/praha-smichov-holeckova/3990809692#img=0&fullscreen=false,4+1,12000000,120,100000,N/A,Holečkova,Praha 5,Smíchov
SREALITY1604136540,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-podbelohorska/1604136540#img=0&fullscreen=false,3+kk,11256505,77,146188,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY261959260,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-podbelohorska/261959260#img=0&fullscreen=false,2+kk,9220646,62,148720,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY700907100,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/700907100#img=0&fullscreen=false,3+kk,6658000,89,74808,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY2458046044,https://www.sreality.cz/detail/prodej/byt/1+1/praha-nove-mesto-pricna/2458046044#img=0&fullscreen=false,1+1,5897000,51,115627,ACORD INVEST s.r.o.,Příčná,Praha 1,Nové Město
SREALITY2639552348,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-bubenec-ovenecka/2639552348#img=0&fullscreen=false,1+kk,4828500,33,146318,ACORD INVEST s.r.o.,Ovenecká,Praha 7,Bubeneč
SREALITY2443607132,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-zahrebska/2443607132#img=0&fullscreen=false,1+kk,5576000,29,192275,ACORD INVEST s.r.o.,Záhřebská,Praha 2,Vinohrady
SREALITY2199756636,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-pricna/2199756636#img=0&fullscreen=false,1+kk,5645000,26,217115,ACORD INVEST s.r.o.,Příčná,Praha 1,Nové Město
SREALITY1980604252,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-pricna/1980604252#img=0&fullscreen=false,2+kk,8955000,59,151779,ACORD INVEST s.r.o.,Příčná,Praha 1,Nové Město
SREALITY502112092,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-stepanska/502112092#img=0&fullscreen=false,1+kk,6329000,29,218241,ACORD INVEST s.r.o.,Štěpánská,Praha 1,Nové Město
SREALITY1480260700,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-spanelska/1480260700#img=0&fullscreen=false,1+kk,4840000,24,201666,ACORD INVEST s.r.o.,Španělská,Praha 2,Vinohrady
SREALITY488922972,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-ovenecka/488922972#img=0&fullscreen=false,2+kk,5385000,31,173709,ACORD INVEST s.r.o.,Ovenecká,Praha 7,Bubeneč
SREALITY2560560988,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-spanelska/2560560988#img=0&fullscreen=false,1+kk,3995000,23,173695,ACORD INVEST s.r.o.,Španělská,Praha 2,Vinohrady
SREALITY10424156,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-spanelska/10424156#img=0&fullscreen=false,1+kk,4452000,26,171230,ACORD INVEST s.r.o.,Španělská,Praha 2,Vinohrady
SREALITY3179052636,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-ovenecka/3179052636#img=0&fullscreen=false,2+kk,4466000,31,144064,ACORD INVEST s.r.o.,Ovenecká,Praha 7,Bubeneč
SREALITY649428060,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-zahrebska/649428060#img=0&fullscreen=false,1+kk,4895000,24,203958,ACORD INVEST s.r.o.,Záhřebská,Praha 2,Vinohrady
SREALITY2216976220,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-bubenec-ovenecka/2216976220#img=0&fullscreen=false,1+kk,5085000,33,154090,ACORD INVEST s.r.o.,Ovenecká,Praha 7,Bubeneč
SREALITY947289180,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-zahrebska/947289180#img=0&fullscreen=false,1+kk,6560000,34,192941,ACORD INVEST s.r.o.,Záhřebská,Praha 2,Vinohrady
IDNES5f5a6e44a9284853d53e6713,https://reality.idnes.cz/detail/prodej/byt/praha-10-brigadniku/5f5a6e44a9284853d53e6713/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,3+1 65 m²,6150000,N/A,N/A,RE/MAX Czech Republic,Brigádníků,Praha 10,Strašnice
IDNES5fd1d1b7f6544933355077e3,https://reality.idnes.cz/detail/prodej/byt/praha-10-vajdova/5fd1d1b7f6544933355077e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,3+1 65 m²,5990000,N/A,N/A,RE/MAX Czech Republic,Vajdova,Praha 10,Hostivař
IDNES5ac53cbee880542f5e7560e1,https://reality.idnes.cz/detail/prodej/byt/praha-3-slezska/5ac53cbee880542f5e7560e1/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,3+kk 85 m²,12500000,N/A,N/A,soukromník,Slezská,Praha 3,
IDNES5fa0275dc7c6d11399057a93,https://reality.idnes.cz/detail/prodej/byt/praha-4-klapalkova/5fa0275dc7c6d11399057a93/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,1+kk 36 m²,3528800,N/A,N/A,Národní Realitní Holding a.s.,Klapálkova,Praha 4,Chodov
IDNES5fa026b57933a959f32ce5c2,https://reality.idnes.cz/detail/prodej/byt/praha-4-klapalkova/5fa026b57933a959f32ce5c2/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,1+kk 36 m²,3644200,N/A,N/A,Národní Realitní Holding a.s.,Klapálkova,Praha 4,Chodov
IDNES5e71f1ab37ba4d68181777d3,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5e71f1ab37ba4d68181777d3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,2+kk 54 m²,5011799,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5fd5d9857864b513aa0ffb43,https://reality.idnes.cz/detail/prodej/byt/praha-4-humpolecka/5fd5d9857864b513aa0ffb43/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,2+1 42 m²,3980000,N/A,N/A,EVROPA realitní kancelář,Humpolecká,Praha 4,Krč
IDNES5f7847bcc711c00e796ec122,https://reality.idnes.cz/detail/prodej/byt/praha-21-zarovicka/5f7847bcc711c00e796ec122/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,5+kk 115 m²,7690000,N/A,N/A,soukromník,Žárovická,Praha 9,Újezd nad Lesy
IDNES5fd53a600d8b652891285d63,https://reality.idnes.cz/detail/prodej/byt/praha-6-bubenecska/5fd53a600d8b652891285d63/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,3+1 90 m²,9890000,N/A,N/A,MAHOON real estate s.r.o.,Bubenečská,Praha 6,Bubeneč
IDNES5d71061e37ba4d6f631e7063,https://reality.idnes.cz/detail/prodej/byt/praha-1-vsehrdova/5d71061e37ba4d6f631e7063/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,2+kk 67 m²,N/A,N/A,N/A,"TIDE REALITY, spol. s r. o.",Všehrdova,Praha 1,"Malá Strana, okres Praha"
IDNES5fd50c2bf6192349a91a2c73,https://reality.idnes.cz/detail/prodej/byt/praha-8-pod-hlinistem/5fd50c2bf6192349a91a2c73/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,3+kk 70 m²,9200000,N/A,N/A,M&M reality holding a. s.,Pod hliništěm,Praha 8,Kobylisy
IDNES5f77121fe7ff4519ad569353,https://reality.idnes.cz/detail/prodej/byt/praha-7-jankovcova/5f77121fe7ff4519ad569353/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,1+kk 45 m²,4531500,N/A,N/A,Bidli,Jankovcova,Praha 7,Holešovice
IDNES5fd4f5395be6d56fc20e8f33,https://reality.idnes.cz/detail/prodej/byt/praha-4-mecislavova/5fd4f5395be6d56fc20e8f33/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=89,2+kk 46 m²,5412500,N/A,N/A,APPARTAMENTI - LUXUSNÍ BYTY PRAHA s.r.o.,Mečislavova,Praha 4,"Nusle, okres Praha"
IDNES5fd4d77b60103817fd646373,https://reality.idnes.cz/detail/prodej/byt/praha-9-makedonska/5fd4d77b60103817fd646373/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 90 m²,6900000,N/A,N/A,ALEŠ HUK & realitní tým,Makedonská,Praha 9,Střížkov
IDNES5fd4a49b09004274ba7bd5a3,https://reality.idnes.cz/detail/prodej/byt/praha-10/5fd4a49b09004274ba7bd5a3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+1 59 m²,6790000,N/A,N/A,"Edox reality, s.r.o.",,Praha 10,
IDNES5f1b126937ba4d2a651c3a03,https://reality.idnes.cz/detail/prodej/byt/praha-1-vezenska/5f1b126937ba4d2a651c3a03/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 53 m²,7410000,N/A,N/A,FAJNREALITY,Vězeňská,Praha 1,"Staré Město, okres Praha"
IDNES5dae9e1c37ba4d5c45489083,https://reality.idnes.cz/detail/prodej/byt/praha-5-peroutkova/5dae9e1c37ba4d5c45489083/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,1+kk 17 m²,2400000,N/A,N/A,"Ponte reality, s.r.o.",Peroutkova,Praha 5,Jinonice
IDNES5f4e403537ba4d72545c7003,https://reality.idnes.cz/detail/prodej/byt/praha-2-spanelska/5f4e403537ba4d72545c7003/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,1+kk 16 m²,3000000,N/A,N/A,"Ponte reality, s.r.o.",Španělská,Praha 2,Vinohrady
IDNES5f071d0f37ba4d632661a685,https://reality.idnes.cz/detail/prodej/byt/praha-4-na-ulehli/5f071d0f37ba4d632661a685/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 45 m²,3890000,N/A,N/A,"Ponte reality, s.r.o.",Na úlehli,Praha 4,Michle
IDNES5fc206f8d66fa150e1591c73,https://reality.idnes.cz/detail/prodej/byt/praha-4-hlavateho/5fc206f8d66fa150e1591c73/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,1+kk 28 m²,3052000,N/A,N/A,JUSTO Česká republika,Hlavatého,Praha 4,Háje
IDNES5fd47a4fb9084314de38ebc3,https://reality.idnes.cz/detail/prodej/byt/praha-9-mileticka/5fd47a4fb9084314de38ebc3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 35 m²,3170000,N/A,N/A,Josef Průša,Miletická,Praha 9,"Újezd nad Lesy, okres Praha"
IDNES5d0b985e558f07206722e3d3,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d0b985e558f07206722e3d3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 57 m²,5278240,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5fc691922d6b4852d53a17c7,https://reality.idnes.cz/detail/prodej/byt/praha-9-letovska/5fc691922d6b4852d53a17c7/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+kk 69 m²,5249000,N/A,N/A,AAA BYTY. CZ - centrála,Letovská,Praha 9,"Letňany, okres Praha"
IDNES5fc356cbb91c285734109853,https://reality.idnes.cz/detail/prodej/byt/praha-6-zapadni/5fc356cbb91c285734109853/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,5+kk 227 m²,26990000,N/A,N/A,RE/MAX Czech Republic,Západní,Praha 6,Střešovice
IDNES5fd4377945775460d24f3c13,https://reality.idnes.cz/detail/prodej/byt/praha-10-jasminova/5fd4377945775460d24f3c13/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+1 54 m²,4400000,N/A,N/A,Mgr. Jan Vodenka,Jasmínová,Praha 10,Záběhlice
IDNES5fd401dab0f06813877fbf13,https://reality.idnes.cz/detail/prodej/byt/praha-1-pohorelec/5fd401dab0f06813877fbf13/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+kk 92 m²,N/A,N/A,N/A,"FARAON reality, s.r.o.",Pohořelec,Praha 1,Hradčany
IDNES5fd3fd5b6c4d61151940e423,https://reality.idnes.cz/detail/prodej/byt/praha-4-jeremenkova/5fd3fd5b6c4d61151940e423/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+kk 55 m²,8300000,N/A,N/A,EU - GRAND REALITY,Jeremenkova,Praha 4,Podolí
IDNES5fd3e1cfc633e901482de272,https://reality.idnes.cz/detail/prodej/byt/praha-14-bojcenkova/5fd3e1cfc633e901482de272/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+1 92 m²,6990000,N/A,N/A,LP energy s.r.o.,Bojčenkova,Praha 9,Černý Most
IDNES5fd3ed94c463b81583102813,https://reality.idnes.cz/detail/prodej/byt/praha-4-bernolakova/5fd3ed94c463b81583102813/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+kk 62 m²,5290000,N/A,N/A,QARA,Bernolákova,Praha 4,Krč
IDNES5fd3d824093e544fba5b77e3,https://reality.idnes.cz/detail/prodej/byt/praha-8-dolakova/5fd3d824093e544fba5b77e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+1 70 m²,4990000,N/A,N/A,4fin,Dolákova,Praha 8,Bohnice
IDNES5fd9de23b28c3d34c94804e3,https://reality.idnes.cz/detail/prodej/byt/praha-9-bilinska/5fd9de23b28c3d34c94804e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+kk 61 m²,4445000,N/A,N/A,Bidli,Bílinská,Praha 9,Prosek
IDNES5fd3cab79c69b1025b5805d3,https://reality.idnes.cz/detail/prodej/byt/praha-5-borovanskeho/5fd3cab79c69b1025b5805d3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,3+1 80 m²,4200000,N/A,N/A,DRUŽSTVO REALITNÍCH KANCELÁŘÍ ČR,Borovanského,Praha 5,Stodůlky
IDNES5fd3c8ba7b441e7ca8261c63,https://reality.idnes.cz/detail/prodej/byt/praha-9/5fd3c8ba7b441e7ca8261c63/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=90,2+1 74 m²,5360000,N/A,N/A,M&M reality holding a. s.,,Praha 9,Černý Most
IDNES5fd3bbc1fa157113b5767053,https://reality.idnes.cz/detail/prodej/byt/praha-5-u-jezera/5fd3bbc1fa157113b5767053/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=91,2+kk 69 m²,6799000,N/A,N/A,LEXXUS a. s.,U jezera,Praha 5,Stodůlky
SREALITY2679336028,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-michle-trnavska/2679336028#img=0&fullscreen=false,3+kk,5390000,57,94561,N/A,Trnavská,Praha 4,Michle
SREALITY976772188,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-horni-mecholupy-hornomecholupska/976772188#img=0&fullscreen=false,3+kk,6960000,78,89230,N/A,Hornoměcholupská,Praha 10,Horní Měcholupy
SREALITY1044242268,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-klimentska/1044242268#img=0&fullscreen=false,3+kk,10950000,100,109500,N/A,Klimentská,Praha 1,Nové Město
SREALITY4179390300,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rimska/4179390300#img=0&fullscreen=false,1+kk,2827000,23,122913,ANGELO ROMA a.s.,Římská,Praha 2,Vinohrady
SREALITY1933799260,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rimska/1933799260#img=0&fullscreen=false,1+kk,4806000,26,184846,ANGELO ROMA a.s.,Římská,Praha 2,Vinohrady
SREALITY2563178076,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/2563178076#img=0&fullscreen=false,3+kk,7235000,84,86130,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY1873214556,https://www.sreality.cz/detail/prodej/byt/4+1/praha-nusle-hvezdova/1873214556#img=0&fullscreen=false,4+1,6590000,68,96911,"Salesplan, s.r.o.",Hvězdova,Praha 4,Nusle
SREALITY4071234652,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-pod-kavalirkou/4071234652#img=0&fullscreen=false,2+kk,4500000,48,93750,"Salesplan, s.r.o.",Pod Kavalírkou,Praha 5,Košíře
SREALITY3601472604,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-stare-mesto-dlouha/3601472604#img=0&fullscreen=false,1+kk,7499000,51,147039,"Salesplan, s.r.o.",Dlouhá,Praha 1,Staré Město
SREALITY1437220700,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-rohanske-nabrezi/1437220700#img=0&fullscreen=false,3+kk,11694000,81,144370,"Sekyra Group, a.s.",Rohanské nábřeží,Praha,Karlín
SREALITY279583836,https://www.sreality.cz/detail/prodej/byt/4+1/praha-chodov-zdimericka/279583836#img=0&fullscreen=false,4+1,5590000,73,76575,"Salesplan, s.r.o.",Zdiměřická,Praha 4,Chodov
SREALITY4101365596,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zabehlice-mattioliho/4101365596#img=0&fullscreen=false,2+kk,6950000,62,112096,Duna House,Mattioliho,Praha 10,Záběhlice
SREALITY3907337820,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-jinonice-peroutkova/3907337820#img=0&fullscreen=false,1+kk,2672000,26,102769,"PSN, s.r.o.",Peroutkova,Praha 5,Jinonice
SREALITY3508022364,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/3508022364#img=0&fullscreen=false,3+kk,6650000,90,73888,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY2644466780,https://www.sreality.cz/detail/prodej/byt/4+1/praha-stare-mesto-staromestske-namesti/2644466780#img=0&fullscreen=false,4+1,39900000,121,329752,N/A,Staroměstské náměstí,Praha 1,Staré Město
SREALITY496663644,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-troja-hnezdenska/496663644#img=0&fullscreen=false,1+kk,5295000,52,101826,EXCLUSIVE RENTALS LTD,Hnězdenská,Praha 8,Troja
SREALITY3516804700,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-za-zenskymi-domovy/3516804700#img=0&fullscreen=false,2+kk,7345000,55,133545,"Sekyra Group, a.s.",Za Ženskými domovy,Praha,Smíchov
SREALITY3977379420,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-cerny-most-/3977379420#img=0&fullscreen=false,1+kk,3469000,33,105121,CANABA a.s.,,Praha 9,Černý Most
SREALITY2596789340,https://www.sreality.cz/detail/prodej/byt/3+1/praha-haje-steinerova/2596789340#img=0&fullscreen=false,3+1,5490000,71,77323,Duna House,Steinerova,Praha 4,Háje
SREALITY3229109852,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-vorarska/3229109852#img=0&fullscreen=false,2+kk,5311000,54,98351,"Sekyra Group, a.s.",Vorařská,Praha 4,Modřany
SREALITY1003425628,https://www.sreality.cz/detail/prodej/byt/4+1/praha-zabehlice-hrusicka/1003425628#img=0&fullscreen=false,4+1,5790000,80,72375,Síť Realit.cz,Hrusická,Praha 4,Záběhlice
SREALITY897940572,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-zahrebska/897940572#img=0&fullscreen=false,1+kk,4965000,27,183888,ACORD INVEST s.r.o.,Záhřebská,Praha 2,Vinohrady
SREALITY985739100,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-vitkova/985739100#img=0&fullscreen=false,1+kk,3643000,25,145720,ACORD INVEST s.r.o.,Vítkova,Praha 8,Karlín
SREALITY1557213020,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-vitkova/1557213020#img=0&fullscreen=false,1+kk,4553000,31,146870,ACORD INVEST s.r.o.,Vítkova,Praha 8,Karlín
SREALITY1618025564,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-sokolovska/1618025564#img=0&fullscreen=false,2+kk,8801500,60,146691,ACORD INVEST s.r.o.,Sokolovská,Praha 8,Karlín
SREALITY3651448412,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hodkovicky-sifarska/3651448412#img=0&fullscreen=false,4+kk,18887000,270,69951,"REAL DEVELOPMENT 2001, a.s.",Šífařská,Praha 4,Hodkovičky
SREALITY4208049244,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-hnevkovskeho/4208049244#img=0&fullscreen=false,3+kk,5850000,64,91406,ARCHER reality Praha,Hněvkovského,Praha 4,Chodov
SREALITY3854339164,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kyje-farkasova/3854339164#img=0&fullscreen=false,2+kk,5250000,150,35000,ARCHER reality Praha,Farkašova,Praha 9,Kyje
SREALITY2891951196,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-horni-mecholupy-ravennska/2891951196#img=0&fullscreen=false,2+kk,4290000,46,93260,ARCHER reality Praha,Ravennská,Praha 10,Horní Měcholupy
SREALITY4092898396,https://www.sreality.cz/detail/prodej/byt/5+1/praha-brevnov-na-petynce/4092898396#img=0&fullscreen=false,5+1,11450000,135,84814,ARCHER reality Praha,Na Petynce,Praha 6,Břevnov
SREALITY2983743324,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-pricna/2983743324#img=0&fullscreen=false,1+kk,6799000,27,251814,ARCHER reality Praha,Příčná,Praha 1,Nové Město
SREALITY2100186972,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-lipanska/2100186972#img=0&fullscreen=false,2+kk,6420000,48,133750,ARCHER reality Praha,Lipanská,Praha 3,Žižkov
SREALITY2722922332,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-spanelska/2722922332#img=0&fullscreen=false,1+kk,4114000,24,171416,ARCHER reality Praha,Španělská,Praha 2,Vinohrady
SREALITY724967260,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nusle-u-druzstev/724967260#img=0&fullscreen=false,2+kk,4950000,56,88392,ARCHER reality Praha,U družstev,Praha 4,Nusle
SREALITY3450539868,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kamyk-smotlachova/3450539868#img=0&fullscreen=false,3+kk,5900000,65,90769,ARCHER reality Praha,Smotlachova,Praha 4,Kamýk
SREALITY549797724,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-hloubetin-granitova/549797724#img=0&fullscreen=false,1+kk,3950000,39,101282,ARCHER reality Praha,Granitova,Praha 9,Hloubětín
SREALITY4258045788,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-stodulky-chalabalova/4258045788#img=0&fullscreen=false,3+kk,8400000,72,116666,ARCHER reality Praha,Chalabalova,Praha 5,Stodůlky
SREALITY1909034076,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zlicin-sazovicka/1909034076#img=0&fullscreen=false,4+kk,13750000,168,81845,ARCHER reality Praha,Sazovická,Praha 5,Zličín
SREALITY2902264924,https://www.sreality.cz/detail/prodej/byt/3+1/praha-chodov-majerskeho/2902264924#img=0&fullscreen=false,3+1,6900000,82,84146,ARCHER reality Praha,Majerského,Praha 4,Chodov
SREALITY1833267036,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-sartoriova/1833267036#img=0&fullscreen=false,3+kk,8500000,88,96590,ARCHER reality Praha,Sartoriova,Praha 6,Břevnov
SREALITY653343836,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-sokolska/653343836#img=0&fullscreen=false,2+kk,6100000,43,141860,ARCHER reality Praha,Sokolská,Praha 2,Nové Město
IDNES5fd37efd0d3ca62a42498502,https://reality.idnes.cz/detail/prodej/byt/praha-2-sekaninova/5fd37efd0d3ca62a42498502/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=91,2+kk 63 m²,6250000,N/A,N/A,1 x 1 a.s.,Sekaninova,Praha 2,Nusle
